Vehicle_Type,Fuel_Type,Emission_Standard,CO,HC,NOx,PM,O2,Lambda,Issue
Car,Petrol,BS4,0.56,618,0.13,0.009,0.65,1.2,Spark Plug Issue
Car,Diesel,BS4,0.81,396,0.18,0.009,0.26,0.8,Rich Fuel Mixture
Car,Petrol,BS4,0.25,93,0.02,0.003,0.5,0.99,Normal
Car,Diesel,BS4,0.54,346,0.11,0.01,0.48,0.86,Injector Problem
Car,Diesel,BS4,0.43,356,0.21,0.011,0.4,0.85,Injector Problem
Car,Petrol,BS6,0.49,299,0.19,0.014,0.52,0.92,Turbocharger Issue
Car,Petrol,BS6,0.49,365,0.1,0.008,0.31,1.18,EGR Valve Problem
Car,Petrol,BS6,0.58,333,0.24,0.012,0.45,0.9,Turbocharger Issue
Car,Petrol,BS6,0.54,356,0.19,0.003,0.6,1.19,Air Filter Clogged
Car,Diesel,BS4,0.55,646,0.08,0.003,0.87,1.11,Spark Plug Issue
Car,Petrol,BS6,0.53,394,0.25,0.024,0.45,0.92,Turbocharger Issue
Car,Petrol,BS4,0.63,535,0.12,0.009,0.84,1.29,Spark Plug Issue
Car,Petrol,BS4,0.69,343,0.24,0.012,0.8,1.07,Injector Problem
Car,Petrol,BS6,0.18,87,0.03,0.002,0.43,1.0,Normal
Car,Petrol,BS4,0.28,139,0.03,0.003,0.33,1.03,Normal
Car,Diesel,BS4,0.78,440,0.14,0.016,0.36,0.79,Rich Fuel Mixture
Car,Diesel,BS4,0.71,448,0.09,0.013,0.38,0.94,Fuel Injector Issue
Car,Petrol,BS4,0.44,499,0.14,0.01,0.48,0.93,DPF Clogging
Car,Petrol,BS6,0.66,282,0.13,0.015,0.57,1.08,Injector Problem
Car,Petrol,BS4,0.44,317,0.11,0.023,0.53,0.86,Turbocharger Issue
Car,Petrol,BS4,0.62,469,0.22,0.011,0.74,1.06,Turbocharger Issue
Car,Petrol,BS6,0.69,341,0.12,0.018,0.24,0.86,Rich Fuel Mixture
Car,Diesel,BS4,0.55,313,0.1,0.013,0.8,0.98,Turbocharger Issue
Car,Diesel,BS6,0.78,469,0.11,0.003,0.81,1.29,Engine Misfire
Car,Diesel,BS6,0.5,336,0.17,0.012,0.72,0.91,DPF Clogging
Car,Diesel,BS6,0.39,496,0.1,0.01,0.8,1.01,Spark Plug Issue
Car,Petrol,BS4,0.19,91,0.04,0.002,0.52,0.99,Normal
Car,Petrol,BS4,0.54,554,0.08,0.008,0.27,0.84,Fuel Injector Issue
Car,Diesel,BS6,0.59,361,0.2,0.01,0.79,1.09,Injector Problem
Car,Petrol,BS6,0.34,625,0.06,0.002,0.72,1.16,Spark Plug Issue
Car,Diesel,BS4,0.59,275,0.1,0.013,0.52,1.0,Turbocharger Issue
Car,Diesel,BS6,0.46,389,0.15,0.006,0.6,0.94,DPF Clogging
Car,Petrol,BS6,0.55,628,0.12,0.002,0.61,1.0,Engine Misfire
Car,Petrol,BS6,0.69,372,0.19,0.009,0.66,1.07,DPF Clogging
Car,Diesel,BS4,0.51,283,0.11,0.013,0.79,1.02,Turbocharger Issue
Car,Petrol,BS4,0.69,478,0.14,0.008,0.77,1.19,Engine Misfire
Car,Petrol,BS4,0.46,373,0.08,0.013,0.33,1.19,DPF Clogging
Car,Petrol,BS4,0.58,235,0.18,0.015,0.32,0.9,EGR Valve Problem
Car,Diesel,BS6,0.68,554,0.14,0.009,0.32,0.88,Fuel Injector Issue
Car,Diesel,BS4,0.59,678,0.13,0.004,0.5,1.2,Engine Misfire
Car,Diesel,BS4,0.41,430,0.19,0.005,0.7,1.0,DPF Clogging
Car,Diesel,BS4,0.5,325,0.19,0.01,0.66,0.99,Injector Problem
Car,Petrol,BS4,0.67,348,0.19,0.008,0.31,1.1,DPF Clogging
Car,Petrol,BS6,0.48,492,0.18,0.004,0.66,1.03,DPF Clogging
Car,Petrol,BS4,0.88,512,0.09,0.008,0.39,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.61,375,0.12,0.007,0.36,1.19,DPF Clogging
Car,Petrol,BS4,0.65,344,0.11,0.013,0.61,0.87,Turbocharger Issue
Car,Petrol,BS6,0.5,490,0.1,0.013,0.55,0.94,DPF Clogging
Car,Petrol,BS4,0.45,270,0.1,0.004,0.69,0.94,EGR Valve Problem
Car,Diesel,BS6,0.53,368,0.13,0.01,0.59,1.18,DPF Clogging
Car,Diesel,BS6,0.66,274,0.19,0.01,0.69,1.08,EGR Valve Problem
Car,Diesel,BS6,0.31,99,0.03,0.001,0.64,0.96,Normal
Car,Petrol,BS4,0.16,61,0.01,0.002,0.64,1.03,Normal
Car,Petrol,BS4,0.69,433,0.13,0.022,0.43,0.94,Injector Problem
Car,Petrol,BS4,0.51,357,0.15,0.014,0.57,1.03,EGR Valve Problem
Car,Petrol,BS6,0.87,587,0.16,0.015,0.29,0.74,Rich Fuel Mixture
Car,Diesel,BS4,0.44,268,0.11,0.012,0.46,0.99,EGR Valve Problem
Car,Diesel,BS6,0.52,549,0.17,0.017,0.21,0.81,Fuel Injector Issue
Car,Diesel,BS4,0.53,385,0.16,0.017,0.61,0.88,Injector Problem
Car,Diesel,BS4,0.46,301,0.17,0.011,0.55,1.08,Air Filter Clogged
Car,Petrol,BS6,0.72,327,0.09,0.018,0.5,0.76,Fuel Injector Issue
Car,Diesel,BS6,0.53,250,0.11,0.011,0.47,0.98,DPF Clogging
Car,Diesel,BS4,0.33,92,0.03,0.002,0.44,1.02,Normal
Car,Diesel,BS6,0.46,408,0.17,0.011,0.35,1.03,EGR Valve Problem
Car,Petrol,BS6,0.49,450,0.17,0.008,0.58,0.94,EGR Valve Problem
Car,Petrol,BS6,0.52,433,0.16,0.016,0.31,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.1,156,0.04,0.002,0.45,0.96,Normal
Car,Diesel,BS4,0.53,693,0.11,0.008,0.64,1.2,Engine Misfire
Car,Petrol,BS6,0.55,416,0.09,0.012,0.31,1.13,DPF Clogging
Car,Diesel,BS6,0.43,315,0.12,0.008,0.72,1.11,DPF Clogging
Car,Diesel,BS6,0.5,491,0.09,0.009,0.88,1.2,Spark Plug Issue
Car,Petrol,BS4,0.68,457,0.11,0.012,0.35,1.15,Air Filter Clogged
Car,Petrol,BS6,0.58,236,0.17,0.011,0.49,0.95,DPF Clogging
Car,Petrol,BS6,0.65,413,0.15,0.004,0.74,0.91,Air Filter Clogged
Car,Diesel,BS6,0.55,228,0.09,0.013,0.81,0.95,Air Filter Clogged
Car,Petrol,BS6,0.67,470,0.14,0.019,0.67,0.87,Injector Problem
Car,Petrol,BS6,0.64,340,0.14,0.006,0.77,0.92,Air Filter Clogged
Car,Petrol,BS6,0.48,393,0.08,0.011,0.36,1.05,DPF Clogging
Car,Diesel,BS4,0.58,324,0.09,0.013,0.41,1.04,Air Filter Clogged
Car,Diesel,BS6,0.59,367,0.16,0.017,0.5,0.77,Rich Fuel Mixture
Car,Diesel,BS6,0.66,634,0.13,0.004,0.61,1.25,Spark Plug Issue
Car,Petrol,BS6,0.53,474,0.14,0.003,0.32,0.92,DPF Clogging
Car,Petrol,BS6,0.76,446,0.08,0.01,0.51,1.17,Spark Plug Issue
Car,Diesel,BS6,0.41,194,0.03,0.002,0.68,1.04,Normal
Car,Petrol,BS4,0.48,431,0.11,0.014,0.77,0.91,Injector Problem
Car,Diesel,BS4,0.56,355,0.08,0.012,0.28,0.85,Rich Fuel Mixture
Car,Petrol,BS6,0.79,407,0.07,0.003,0.58,1.27,Spark Plug Issue
Car,Diesel,BS6,0.71,577,0.17,0.016,0.42,0.83,Fuel Injector Issue
Car,Petrol,BS6,0.56,448,0.24,0.02,0.53,0.9,Turbocharger Issue
Car,Diesel,BS6,0.66,378,0.15,0.008,0.61,1.01,DPF Clogging
Car,Diesel,BS4,0.8,465,0.08,0.019,0.29,0.83,Rich Fuel Mixture
Car,Diesel,BS6,0.7,364,0.18,0.013,0.64,0.92,Turbocharger Issue
Car,Petrol,BS6,0.5,530,0.09,0.005,0.55,1.08,Engine Misfire
Car,Petrol,BS6,0.53,502,0.16,0.004,0.35,0.92,DPF Clogging
Car,Petrol,BS6,0.11,58,0.02,0.003,0.4,1.05,Normal
Car,Petrol,BS6,0.63,673,0.11,0.007,0.66,1.05,Spark Plug Issue
Car,Diesel,BS6,0.64,339,0.11,0.012,0.34,0.81,Rich Fuel Mixture
Car,Petrol,BS6,0.58,305,0.09,0.006,0.44,1.08,DPF Clogging
Car,Petrol,BS4,0.63,550,0.08,0.003,0.82,1.07,Spark Plug Issue
Car,Petrol,BS6,0.52,313,0.23,0.014,0.51,0.86,Injector Problem
Car,Diesel,BS4,0.88,446,0.09,0.019,0.48,0.9,Rich Fuel Mixture
Car,Diesel,BS4,0.52,607,0.14,0.007,0.89,1.23,Spark Plug Issue
Car,Petrol,BS6,0.8,412,0.13,0.005,0.32,0.7,Rich Fuel Mixture
Car,Diesel,BS4,0.53,495,0.09,0.014,0.21,0.76,Fuel Injector Issue
Car,Diesel,BS4,0.62,355,0.15,0.022,0.65,1.1,Turbocharger Issue
Car,Petrol,BS4,0.78,577,0.09,0.009,0.6,1.2,Engine Misfire
Car,Diesel,BS4,0.45,387,0.22,0.016,0.79,0.96,Turbocharger Issue
Car,Diesel,BS4,0.65,382,0.1,0.02,0.32,0.89,Rich Fuel Mixture
Car,Diesel,BS4,0.46,244,0.1,0.013,0.71,1.16,EGR Valve Problem
Car,Diesel,BS6,0.58,342,0.17,0.02,0.59,0.87,Turbocharger Issue
Car,Petrol,BS4,0.63,586,0.16,0.006,0.24,0.94,Rich Fuel Mixture
Car,Diesel,BS6,0.55,210,0.08,0.012,0.55,1.06,Air Filter Clogged
Car,Petrol,BS6,0.43,345,0.11,0.014,0.4,0.93,DPF Clogging
Car,Petrol,BS6,0.75,568,0.09,0.008,0.39,0.93,Rich Fuel Mixture
Car,Petrol,BS6,0.67,389,0.18,0.022,0.57,1.03,Turbocharger Issue
Car,Diesel,BS6,0.13,164,0.03,0.002,0.31,1.02,Normal
Car,Diesel,BS4,0.7,658,0.1,0.008,0.67,1.0,Spark Plug Issue
Car,Diesel,BS4,0.63,648,0.14,0.01,0.61,1.04,Spark Plug Issue
Car,Petrol,BS6,0.68,456,0.14,0.011,0.5,1.2,Air Filter Clogged
Car,Petrol,BS4,0.66,267,0.24,0.022,0.61,0.94,Injector Problem
Car,Petrol,BS4,0.51,264,0.13,0.003,0.73,0.94,Air Filter Clogged
Car,Petrol,BS6,0.44,475,0.14,0.011,0.78,1.01,Turbocharger Issue
Car,Diesel,BS6,0.53,504,0.15,0.007,0.56,1.15,Engine Misfire
Car,Petrol,BS4,0.64,452,0.09,0.01,0.58,0.97,DPF Clogging
Car,Diesel,BS6,0.46,331,0.14,0.004,0.75,1.11,Air Filter Clogged
Car,Petrol,BS6,0.82,492,0.11,0.02,0.29,0.92,Rich Fuel Mixture
Car,Diesel,BS4,0.53,378,0.23,0.02,0.4,0.88,Turbocharger Issue
Car,Petrol,BS4,0.42,268,0.23,0.011,0.79,1.04,Turbocharger Issue
Car,Diesel,BS6,0.63,612,0.13,0.006,0.67,1.23,Engine Misfire
Car,Petrol,BS4,0.64,301,0.11,0.011,0.48,0.91,Turbocharger Issue
Car,Diesel,BS4,0.51,398,0.14,0.016,0.58,1.05,Injector Problem
Car,Diesel,BS6,0.49,247,0.15,0.012,0.42,1.13,DPF Clogging
Car,Diesel,BS6,0.5,263,0.21,0.018,0.63,1.05,Injector Problem
Car,Diesel,BS6,0.46,484,0.13,0.021,0.5,1.09,Injector Problem
Car,Diesel,BS4,0.44,368,0.18,0.013,0.36,1.07,EGR Valve Problem
Car,Diesel,BS4,0.62,357,0.1,0.003,0.74,1.0,Air Filter Clogged
Car,Petrol,BS6,0.4,418,0.18,0.015,0.48,1.05,EGR Valve Problem
Car,Diesel,BS6,0.82,451,0.11,0.01,0.29,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.43,246,0.16,0.013,0.71,1.15,DPF Clogging
Car,Petrol,BS6,0.11,106,0.04,0.001,0.65,1.0,Normal
Car,Petrol,BS6,0.59,324,0.08,0.018,0.48,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.57,271,0.13,0.007,0.44,1.06,EGR Valve Problem
Car,Diesel,BS6,0.41,262,0.09,0.01,0.72,0.99,Air Filter Clogged
Car,Diesel,BS6,0.32,641,0.07,0.005,0.8,1.2,Spark Plug Issue
Car,Petrol,BS6,0.13,95,0.03,0.002,0.58,0.98,Normal
Car,Diesel,BS6,0.62,631,0.09,0.006,0.88,1.12,Engine Misfire
Car,Diesel,BS6,0.79,455,0.14,0.019,0.39,0.72,Rich Fuel Mixture
Car,Petrol,BS6,0.47,365,0.15,0.005,0.35,0.99,DPF Clogging
Car,Petrol,BS4,0.65,398,0.16,0.006,0.41,0.98,Air Filter Clogged
Car,Diesel,BS4,0.54,412,0.14,0.005,0.77,1.0,DPF Clogging
Car,Diesel,BS6,0.58,532,0.13,0.015,0.37,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.34,111,0.05,0.003,0.3,1.0,Normal
Car,Petrol,BS6,0.5,267,0.12,0.007,0.39,0.96,Air Filter Clogged
Car,Petrol,BS6,0.72,378,0.11,0.009,0.37,0.75,Rich Fuel Mixture
Car,Petrol,BS6,0.58,468,0.18,0.01,0.46,1.02,Injector Problem
Car,Petrol,BS6,0.51,332,0.11,0.013,0.51,1.17,EGR Valve Problem
Car,Diesel,BS6,0.41,605,0.08,0.009,0.72,1.2,Engine Misfire
Car,Diesel,BS4,0.63,291,0.11,0.024,0.73,1.06,Turbocharger Issue
Car,Petrol,BS4,0.64,531,0.12,0.006,0.88,1.04,Engine Misfire
Car,Diesel,BS6,0.69,582,0.07,0.006,0.5,1.28,Engine Misfire
Car,Petrol,BS6,0.32,667,0.14,0.005,0.81,1.22,Spark Plug Issue
Car,Petrol,BS6,0.73,534,0.17,0.008,0.42,0.94,Rich Fuel Mixture
Car,Petrol,BS6,0.47,417,0.19,0.012,0.53,0.94,EGR Valve Problem
Car,Diesel,BS6,0.47,287,0.08,0.014,0.39,1.11,EGR Valve Problem
Car,Petrol,BS6,0.48,578,0.12,0.004,0.67,1.04,Spark Plug Issue
Car,Petrol,BS4,0.38,522,0.08,0.005,0.52,1.2,Spark Plug Issue
Car,Petrol,BS4,0.7,474,0.13,0.007,0.43,0.95,Fuel Injector Issue
Car,Diesel,BS6,0.6,596,0.11,0.013,0.43,0.78,Rich Fuel Mixture
Car,Diesel,BS6,0.27,103,0.01,0.002,0.61,0.96,Normal
Car,Diesel,BS4,0.72,386,0.18,0.007,0.33,0.94,Rich Fuel Mixture
Car,Petrol,BS4,0.71,301,0.17,0.01,0.43,0.8,Rich Fuel Mixture
Car,Petrol,BS4,0.24,93,0.03,0.001,0.36,1.03,Normal
Car,Petrol,BS6,0.58,375,0.11,0.011,0.58,0.91,DPF Clogging
Car,Petrol,BS4,0.6,416,0.15,0.008,0.59,1.03,Engine Misfire
Car,Diesel,BS4,0.66,599,0.06,0.004,0.85,1.06,Spark Plug Issue
Car,Petrol,BS6,0.51,275,0.16,0.014,0.31,0.91,DPF Clogging
Car,Diesel,BS4,0.68,480,0.11,0.009,0.6,1.2,Air Filter Clogged
Car,Petrol,BS6,0.42,292,0.13,0.01,0.7,1.02,EGR Valve Problem
Car,Petrol,BS4,0.65,431,0.12,0.008,0.38,1.13,Air Filter Clogged
Car,Petrol,BS4,0.7,399,0.15,0.014,0.35,1.19,DPF Clogging
Car,Petrol,BS4,0.5,444,0.18,0.004,0.77,1.11,EGR Valve Problem
Car,Diesel,BS6,0.47,425,0.09,0.002,0.81,1.02,Engine Misfire
Car,Diesel,BS4,0.46,437,0.14,0.012,0.47,0.9,EGR Valve Problem
Car,Petrol,BS4,0.71,362,0.17,0.019,0.24,0.81,Fuel Injector Issue
Car,Petrol,BS6,0.51,294,0.09,0.007,0.7,1.06,Air Filter Clogged
Car,Diesel,BS4,0.78,428,0.06,0.006,0.51,1.01,Engine Misfire
Car,Diesel,BS6,0.61,475,0.12,0.013,0.5,0.91,Injector Problem
Car,Petrol,BS4,0.52,543,0.14,0.016,0.38,0.92,Rich Fuel Mixture
Car,Petrol,BS4,0.6,487,0.22,0.013,0.7,1.1,Injector Problem
Car,Diesel,BS4,0.6,692,0.13,0.005,0.5,1.22,Engine Misfire
Car,Diesel,BS6,0.54,419,0.17,0.01,0.75,1.07,DPF Clogging
Car,Petrol,BS6,0.48,445,0.08,0.007,0.78,1.11,Engine Misfire
Car,Petrol,BS4,0.58,451,0.13,0.005,0.84,1.2,Spark Plug Issue
Car,Diesel,BS4,0.52,333,0.17,0.005,0.6,1.04,DPF Clogging
Car,Petrol,BS4,0.72,613,0.08,0.009,0.89,1.2,Engine Misfire
Car,Petrol,BS6,0.74,332,0.17,0.005,0.47,0.8,Rich Fuel Mixture
Car,Petrol,BS6,0.57,456,0.1,0.006,0.78,0.99,EGR Valve Problem
Car,Petrol,BS4,0.5,245,0.13,0.009,0.34,1.05,DPF Clogging
Car,Petrol,BS6,0.68,473,0.1,0.006,0.32,1.18,Air Filter Clogged
Car,Diesel,BS4,0.41,373,0.15,0.022,0.5,0.91,Injector Problem
Car,Diesel,BS4,0.62,474,0.24,0.02,0.68,0.86,Injector Problem
Car,Diesel,BS4,0.38,459,0.09,0.009,0.67,1.2,Spark Plug Issue
Car,Petrol,BS4,0.57,487,0.2,0.014,0.46,1.0,Injector Problem
Car,Petrol,BS4,0.17,81,0.05,0.002,0.56,1.01,Normal
Car,Petrol,BS4,0.63,439,0.09,0.012,0.56,1.19,EGR Valve Problem
Car,Diesel,BS6,0.63,396,0.16,0.005,0.63,0.96,EGR Valve Problem
Car,Petrol,BS4,0.57,305,0.15,0.015,0.78,0.96,DPF Clogging
Car,Petrol,BS6,0.51,407,0.15,0.012,0.66,0.99,EGR Valve Problem
Car,Diesel,BS6,0.61,660,0.1,0.007,0.74,1.13,Spark Plug Issue
Car,Petrol,BS6,0.52,463,0.15,0.008,0.34,0.97,EGR Valve Problem
Car,Diesel,BS4,0.63,493,0.23,0.014,0.61,0.98,Injector Problem
Car,Petrol,BS6,0.57,491,0.11,0.012,0.46,0.8,Fuel Injector Issue
Car,Petrol,BS6,0.52,541,0.06,0.008,0.61,1.08,Engine Misfire
Car,Petrol,BS6,0.48,274,0.17,0.01,0.32,1.04,DPF Clogging
Car,Petrol,BS4,0.55,455,0.08,0.007,0.39,0.86,Rich Fuel Mixture
Car,Petrol,BS4,0.62,499,0.18,0.009,0.72,1.12,Air Filter Clogged
Car,Diesel,BS4,0.53,392,0.12,0.016,0.25,0.91,Rich Fuel Mixture
Car,Petrol,BS4,0.51,361,0.16,0.007,0.73,1.12,EGR Valve Problem
Car,Petrol,BS4,0.73,412,0.08,0.007,0.37,0.94,Rich Fuel Mixture
Car,Diesel,BS6,0.54,445,0.13,0.012,0.54,0.87,Injector Problem
Car,Diesel,BS4,0.62,294,0.22,0.016,0.66,0.96,Turbocharger Issue
Car,Petrol,BS4,0.65,653,0.09,0.01,0.84,1.01,Engine Misfire
Car,Diesel,BS6,0.56,475,0.18,0.01,0.8,0.91,Air Filter Clogged
Car,Diesel,BS4,0.53,688,0.06,0.01,0.57,1.08,Engine Misfire
Car,Diesel,BS4,0.39,421,0.07,0.008,0.76,1.29,Spark Plug Issue
Car,Petrol,BS4,0.5,313,0.16,0.017,0.5,0.89,Fuel Injector Issue
Car,Diesel,BS4,0.58,447,0.09,0.009,0.68,1.13,Engine Misfire
Car,Petrol,BS6,0.71,433,0.18,0.008,0.43,0.95,Fuel Injector Issue
Car,Petrol,BS4,0.78,505,0.12,0.016,0.47,0.83,Fuel Injector Issue
Car,Petrol,BS4,0.65,480,0.22,0.016,0.54,0.98,Turbocharger Issue
Car,Petrol,BS6,0.63,493,0.09,0.008,0.91,1.04,Spark Plug Issue
Car,Petrol,BS6,0.4,204,0.12,0.006,0.75,1.17,EGR Valve Problem
Car,Diesel,BS4,0.59,399,0.15,0.017,0.67,0.9,Turbocharger Issue
Car,Petrol,BS6,0.59,369,0.11,0.009,0.61,1.01,Air Filter Clogged
Car,Petrol,BS6,0.54,528,0.15,0.014,0.21,0.92,Fuel Injector Issue
Car,Petrol,BS6,0.8,494,0.08,0.01,0.37,0.89,Rich Fuel Mixture
Car,Diesel,BS4,0.18,78,0.02,0.002,0.57,1.02,Normal
Car,Diesel,BS6,0.3,454,0.11,0.009,0.88,1.2,Spark Plug Issue
Car,Petrol,BS6,0.52,316,0.13,0.007,0.39,1.02,EGR Valve Problem
Car,Petrol,BS4,0.65,392,0.16,0.011,0.59,1.02,EGR Valve Problem
Car,Petrol,BS4,0.72,594,0.09,0.007,0.55,1.2,Engine Misfire
Car,Diesel,BS4,0.54,479,0.2,0.008,0.77,0.92,DPF Clogging
Car,Petrol,BS6,0.4,253,0.19,0.02,0.63,0.91,Turbocharger Issue
Car,Diesel,BS4,0.65,478,0.18,0.012,0.22,0.81,Fuel Injector Issue
Car,Diesel,BS4,0.16,191,0.03,0.001,0.52,1.04,Normal
Car,Diesel,BS6,0.47,325,0.16,0.024,0.49,0.88,Injector Problem
Car,Diesel,BS4,0.43,361,0.15,0.01,0.58,0.88,Turbocharger Issue
Car,Petrol,BS4,0.44,460,0.11,0.011,0.45,1.18,EGR Valve Problem
Car,Diesel,BS6,0.15,118,0.02,0.003,0.64,0.97,Normal
Car,Petrol,BS6,0.58,397,0.15,0.006,0.78,1.16,DPF Clogging
Car,Diesel,BS6,0.31,109,0.01,0.002,0.44,0.96,Normal
Car,Diesel,BS4,0.78,592,0.14,0.009,0.68,1.23,Spark Plug Issue
Car,Diesel,BS4,0.61,471,0.17,0.02,0.7,0.94,Turbocharger Issue
Car,Diesel,BS4,0.61,329,0.16,0.008,0.35,0.98,DPF Clogging
Car,Petrol,BS6,0.41,262,0.1,0.013,0.66,1.07,Air Filter Clogged
Car,Petrol,BS6,0.59,256,0.19,0.019,0.72,1.02,Turbocharger Issue
Car,Petrol,BS4,0.3,54,0.05,0.001,0.54,1.03,Normal
Car,Diesel,BS4,0.52,369,0.19,0.021,0.58,0.87,Injector Problem
Car,Petrol,BS6,0.46,348,0.19,0.014,0.36,1.08,EGR Valve Problem
Car,Petrol,BS4,0.68,387,0.12,0.012,0.58,0.87,Injector Problem
Car,Petrol,BS4,0.84,556,0.12,0.018,0.48,0.95,Fuel Injector Issue
Car,Diesel,BS6,0.32,84,0.02,0.002,0.67,0.96,Normal
Car,Petrol,BS6,0.67,472,0.18,0.008,0.66,0.97,Air Filter Clogged
Car,Diesel,BS6,0.41,663,0.06,0.008,0.86,1.26,Spark Plug Issue
Car,Diesel,BS4,0.72,595,0.1,0.007,0.8,1.24,Engine Misfire
Car,Diesel,BS6,0.43,609,0.11,0.009,0.65,1.2,Engine Misfire
Car,Diesel,BS4,0.44,268,0.18,0.012,0.56,1.11,DPF Clogging
Car,Petrol,BS6,0.39,536,0.14,0.005,0.61,1.2,Engine Misfire
Car,Petrol,BS6,0.56,415,0.1,0.007,0.78,1.1,EGR Valve Problem
Car,Diesel,BS6,0.55,350,0.1,0.015,0.79,0.94,Turbocharger Issue
Car,Petrol,BS4,0.38,63,0.02,0.003,0.55,1.02,Normal
Car,Diesel,BS4,0.51,342,0.11,0.008,0.49,0.79,Rich Fuel Mixture
Car,Diesel,BS4,0.36,161,0.04,0.001,0.45,1.01,Normal
Car,Petrol,BS4,0.66,573,0.11,0.011,0.37,0.8,Fuel Injector Issue
Car,Petrol,BS6,0.44,336,0.2,0.026,0.63,0.9,Injector Problem
Car,Petrol,BS4,0.69,446,0.19,0.003,0.61,1.07,Air Filter Clogged
Car,Diesel,BS6,0.54,339,0.14,0.014,0.49,1.03,Turbocharger Issue
Car,Petrol,BS4,0.36,524,0.1,0.005,0.85,1.11,Engine Misfire
Car,Petrol,BS4,0.56,362,0.14,0.011,0.38,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.42,474,0.17,0.004,0.7,1.2,EGR Valve Problem
Car,Diesel,BS4,0.55,203,0.08,0.012,0.46,1.15,EGR Valve Problem
Car,Petrol,BS4,0.54,427,0.1,0.004,0.42,0.92,EGR Valve Problem
Car,Diesel,BS4,0.64,498,0.08,0.013,0.45,0.94,EGR Valve Problem
Car,Diesel,BS4,0.61,322,0.18,0.019,0.7,1.01,Injector Problem
Car,Petrol,BS4,0.62,382,0.17,0.017,0.5,0.99,Injector Problem
Car,Diesel,BS6,0.34,459,0.1,0.008,0.55,1.06,Spark Plug Issue
Car,Diesel,BS4,0.63,499,0.19,0.005,0.51,1.1,DPF Clogging
Car,Petrol,BS4,0.64,622,0.06,0.008,0.65,1.12,Engine Misfire
Car,Petrol,BS4,0.69,394,0.19,0.007,0.55,1.1,DPF Clogging
Car,Petrol,BS6,0.4,553,0.1,0.008,0.63,1.15,Spark Plug Issue
Car,Petrol,BS6,0.36,129,0.02,0.002,0.59,1.01,Normal
Car,Petrol,BS6,0.48,308,0.25,0.02,0.47,1.04,Injector Problem
Car,Diesel,BS4,0.47,552,0.14,0.009,0.57,1.14,Engine Misfire
Car,Petrol,BS6,0.67,490,0.09,0.004,0.55,1.16,Engine Misfire
Car,Diesel,BS6,0.63,273,0.2,0.019,0.45,1.02,Turbocharger Issue
Car,Petrol,BS6,0.68,276,0.14,0.021,0.46,0.95,Turbocharger Issue
Car,Petrol,BS6,0.79,569,0.09,0.005,0.44,0.88,Rich Fuel Mixture
Car,Diesel,BS4,0.74,573,0.15,0.019,0.44,0.92,Rich Fuel Mixture
Car,Diesel,BS6,0.53,461,0.13,0.024,0.43,0.9,Turbocharger Issue
Car,Petrol,BS4,0.74,356,0.15,0.007,0.47,0.89,Fuel Injector Issue
Car,Diesel,BS6,0.87,466,0.13,0.009,0.42,0.86,Fuel Injector Issue
Car,Petrol,BS4,0.54,437,0.15,0.008,0.42,1.05,EGR Valve Problem
Car,Petrol,BS6,0.79,538,0.1,0.004,0.53,1.17,Spark Plug Issue
Car,Petrol,BS4,0.43,296,0.21,0.024,0.45,1.0,Injector Problem
Car,Petrol,BS6,0.67,316,0.11,0.003,0.42,0.99,DPF Clogging
Car,Diesel,BS4,0.43,445,0.13,0.014,0.74,0.96,Injector Problem
Car,Diesel,BS4,0.6,240,0.2,0.007,0.38,0.96,DPF Clogging
Car,Diesel,BS4,0.49,594,0.1,0.014,0.51,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.42,483,0.22,0.021,0.46,0.94,Injector Problem
Car,Diesel,BS4,0.53,440,0.08,0.005,0.76,1.09,Spark Plug Issue
Car,Diesel,BS6,0.37,476,0.13,0.007,0.89,1.25,Spark Plug Issue
Car,Petrol,BS4,0.68,550,0.14,0.004,0.75,1.05,Spark Plug Issue
Car,Diesel,BS4,0.59,518,0.08,0.009,0.6,1.03,Spark Plug Issue
Car,Diesel,BS6,0.67,500,0.19,0.006,0.31,1.09,Air Filter Clogged
Car,Diesel,BS6,0.7,379,0.16,0.023,0.59,0.92,Injector Problem
Car,Petrol,BS6,0.1,95,0.02,0.003,0.61,1.03,Normal
Car,Petrol,BS4,0.6,227,0.18,0.005,0.34,0.99,Air Filter Clogged
Car,Diesel,BS6,0.54,358,0.1,0.011,0.74,1.12,DPF Clogging
Car,Petrol,BS4,0.9,409,0.11,0.018,0.29,0.86,Fuel Injector Issue
Car,Petrol,BS6,0.62,551,0.14,0.016,0.26,0.7,Rich Fuel Mixture
Car,Petrol,BS4,0.69,330,0.16,0.014,0.24,0.8,Fuel Injector Issue
Car,Diesel,BS6,0.5,511,0.08,0.003,0.6,1.17,Engine Misfire
Car,Petrol,BS6,0.38,303,0.2,0.012,0.56,0.89,Injector Problem
Car,Diesel,BS6,0.73,695,0.14,0.005,0.81,1.2,Spark Plug Issue
